Item,Group,MainCond,Condition,ContextAudioFile,ContextImageFile,AudioFile,ImageFile
21,2,Critical,TrueControl,21_01.wav,G2_21_01.jpg,21_02.wav,G2_21_02.jpg
22,2,Filler,FSomeAction,22_01.wav,G2_22_01.jpg,22_02.wav,G2_22_02.jpg
23,2,Critical,OnlyExist,23_01.wav,G2_23_01.jpg,23_02.wav,G2_23_02.jpg
24,2,Filler,FAllAction,24_01.wav,G2_24_01.jpg,24_02.wav,G2_24_02.jpg
25,2,Critical,NoAction,25_01.wav,G2_25_01.jpg,25_02.wav,G2_25_02.jpg
26,2,Filler,FNoneAction,26_01.wav,G2_26_01.jpg,26_02.wav,G2_26_02.jpg
27,2,Critical,FalseControl,27_01.wav,G2_27_01.jpg,27_02.wav,G2_27_02.jpg
28,2,Filler,FSomeAction,28_01.wav,G2_28_01.jpg,28_02.wav,G2_28_02.jpg
A,3,Practice,Practice,A_01.wav,A_1.jpg,A_02.wav,A_2.jpg
B,3,Practice,Practice,B_01.wav,B_1.jpg,B_02.wav,B_2.jpg
C,3,Practice,Practice,C_01.wav,C_1.jpg,C_02.wav,C_2.jpg
D,3,Practice,Practice,D_01.wav,D_1.jpg,D_02.wav,D_2.jpg
1,3,Critical,FalseControl,01_01.wav,G3_01_01.jpg,01_02.wav,G3_01_02.jpg
2,3,Filler,FNoneAction,02_01.wav,G3_02_01.jpg,02_02.wav,G3_02_02.jpg
3,3,Critical,TrueControl,03_01.wav,G3_03_01.jpg,03_02.wav,G3_03_02.jpg
4,3,Critical,OnlyExist,04_01.wav,G3_04_01.jpg,04_02.wav,G3_04_02.jpg
5,3,Filler,FSomeAction,05_01.wav,G3_05_01.jpg,05_02.wav,G3_05_02.jpg
6,3,Critical,NoAction,06_01.wav,G3_06_01.jpg,06_02.wav,G3_06_02.jpg
7,3,Filler,FAllAction,07_01.wav,G3_07_01.jpg,07_02.wav,G3_07_02.jpg
8,3,Critical,FalseControl,08_01.wav,G3_08_01.jpg,08_02.wav,G3_08_02.jpg
9,3,Filler,FNoneAction,09_01.wav,G3_09_01.jpg,09_02.wav,G3_09_02.jpg
